Produto,Custo_Manufatura,Preco_Venda,Spread,Margem_Perc,Mercado_Venda,Sourcing_Insumos
Pilgrim's Armbands II,2.55,1.0,-1.55,-155.0,merrie-wiht,Sewing Needles@kerys-dreger; Linen Cloth@inis_gallia-ardennes; Linen String@inis_gallia-langres
Pilgrim's Mitts II,2.55,1.0,-1.55,-155.0,kerys-pladenn,Sewing Needles@kerys-dreger; Linen Cloth@inis_gallia-ardennes; Linen String@inis_gallia-langres
Weak Healing Potion I,1.65,0.05,-1.6,-3200.0,ancien-maremna,Datura Fruit Extract@inis_gallia-trecassis; Water@ancien-armanhac; Tiny Vial@ancien-astarac
Small Potion of Spirit I,1.65,0.05,-1.6,-3200.0,merrie-ardbog,Meadowsweet Extract@inis_gallia-trecassis; Water@ancien-armanhac; Tiny Vial@ancien-astarac
Dandelion Herb Infusion,1.8,0.2,-1.6,-800.0,inis_gallia-javerdus,Water@ancien-armanhac; Dandelion@merrie-ardbog; Rosemary@kerys-pladenn
Oakshade Shoes,3.62,2.0,-1.62,-81.0,merrie-caster,Rawhide@inis_gallia-langres; Sewing Needles@kerys-dreger
Stonepath Boots,3.62,2.0,-1.62,-81.0,kerys-dolavon,Rawhide@inis_gallia-langres; Sewing Needles@kerys-dreger
Shank Stew,1.69,0.05,-1.64,-3285.7,inis_gallia-ardennes,Deer Flank Meat@inis_gallia-atigny; Yellow Onion@inis_gallia-nones; Boar Shank Meat@merrie-ardbog; Black Trumpet@ancien-salias
Fool's Webcap Extract,1.93,0.25,-1.68,-672.0,kerys-aven,Fools Webcap@kerys-pladenn; Charcoal@merrie-shire; Water@ancien-armanhac
Aegis Potion I,1.75,0.05,-1.7,-3400.0,ancien-gravas,Soapwort Extract@inis_gallia-langres; Water@ancien-armanhac; Tiny Vial@ancien-astarac
Fire Resistance I,1.8,0.1,-1.7,-1700.0,ancien-gravas,Sow Thistle Extract@inis_gallia-trecassis; Water@ancien-armanhac; Small Vial@inis_gallia-aras
Aegis Potion III,1.8,0.1,-1.7,-1700.0,merrie-nene,Alfalfa Extract@inis_gallia-trecassis; Water@ancien-armanhac; Small Vial@inis_gallia-aras
Lime Mortar,2.1,0.4,-1.7,-425.0,merrie-ulaid,Lime@inis_gallia-morvan; Water@ancien-armanhac; Sand@inis_gallia-ardennes
Glass,3.7,2.0,-1.7,-85.0,ancien-tolosa,Sand@inis_gallia-ardennes; Charcoal@merrie-shire
Pilgrim's Gloves II,2.7,1.0,-1.7,-170.0,kerys-bronyr,Suede Leather@kerys-tremen; Linen String@inis_gallia-langres
Weak Healing Potion II,1.75,0.05,-1.7,-3400.0,kerys-llydaw,Datura Fruit Extract@inis_gallia-trecassis; Water@ancien-armanhac; Tiny Vial@ancien-astarac
Weak Tonic of Vitality I,1.8,0.1,-1.7,-1700.0,kerys-dolavon,Fly Agaric Extract@ancien-tolosa; Water@ancien-armanhac; Tiny Vial@ancien-astarac
Rye and Berry Bread,1.77,0.058823529411764705,-1.71,-2909.0,merrie-down,Rye Dough@inis_gallia-vitry; Blueberry@inis_gallia-javerdus; Lard@kerys-dreger
Horn Buttons,1.75,0.04,-1.71,-4275.0,kerys-aven,Antler@merrie-ardbog; Wool Yarn@ancien-tursan
Weak Health Tonic I,1.8,0.05,-1.75,-3500.0,merrie-ardbog,Fly Agaric Extract@ancien-tolosa; Water@ancien-armanhac; Tiny Vial@ancien-astarac
Small Potion of Spirit II,1.8,0.05,-1.75,-3500.0,inis_gallia-langres,Datura Leaf Extract@inis_gallia-trecassis; Water@ancien-armanhac; Small Vial@inis_gallia-aras
Weak Healing Potion III,1.8,0.05,-1.75,-3500.0,ancien-lavedan,Tansy Extract@inis_gallia-trecassis; Water@ancien-armanhac; Small Vial@inis_gallia-aras
Small Potion of Spirit III,1.9,0.1,-1.8,-1800.0,merrie-nene,Datura Leaf Extract@inis_gallia-trecassis; Water@ancien-armanhac; Small Vial@inis_gallia-aras
Bow Stave,2.1,0.3,-1.8,-600.0,kerys-pladenn,Long Fine Wood Stock@kerys-llydaw; Resin@merrie-yarborn; Beeswax@ancien-tursan
Mushroom and Vegetable Stew,1.87,0.06666666666666667,-1.8,-2698.6,merrie-wiht,Yellow Onion@inis_gallia-nones; Mustard@merrie-ulaid; Garlic@kerys-pladenn; Chanterelle@ancien-armanhac; Lard@kerys-dreger
Stone Planter with Frieze,2.0,0.2,-1.8,-900.0,kerys-dolavon,Limestone@merrie-nene
Umberlace Shoes,4.82,3.0,-1.82,-60.7,merrie-ulaid,Fine Leather@merrie-ardbog; Sewing Needles@kerys-dreger
Weak Health Tonic II,1.9,0.05,-1.85,-3700.0,ancien-tolosa,Fly Agaric Extract@ancien-tolosa; Water@ancien-armanhac; Tiny Vial@ancien-astarac
Silver Ingot,5.86,4.0,-1.86,-46.6,kerys-tremen,Silver Ore@kerys-llydaw; Charcoal@merrie-shire
Chamois Sausage,2.0,0.10714285714285714,-1.89,-1766.7,ancien-salias,Deer Intestines@ancien-tursan; Chamois Shank Meat@merrie-shire; Lard@kerys-dreger; Parsley@ancien-tolosa
Aegis Potion II,2.0,0.1,-1.9,-1900.0,kerys-llydaw,Soapwort Extract@inis_gallia-langres; Water@ancien-armanhac; Small Vial@inis_gallia-aras
Oat Flour,2.0,0.1,-1.9,-1900.0,merrie-ardbog,Oat Grain@ancien-gravas
Wrought Iron Tipped Arrow,2.0,0.1,-1.9,-1900.0,kerys-vanes,Long Wood Stock@kerys-aven; Wrought Iron Arrowhead@merrie-down
Bronze Nails,2.0,0.1,-1.9,-1900.0,kerys-aven,Bronze Bar@inis_gallia-aras
Sturdy Chair,3.24,1.25,-1.99,-159.2,merrie-ardbog,Fine Wooden Plank@ancien-tursan; Wrought Iron Nails@kerys-llydaw; Fine Wood Beam@ancien-tursan
Poison Resistance I,2.2,0.2,-2.0,-1000.0,inis_gallia-ardennes,Amanita Regalis Extract@kerys-aven; Water@ancien-armanhac; Small Vial@inis_gallia-aras
Spiced Grilled Meat Hunks,2.05,0.05,-2.0,-4000.0,ancien-volvestre,Meat Chunks@ancien-tursan; Mustard@merrie-ulaid
Shiny Silver Bracelet,3.0,1.0,-2.0,-200.0,kerys-dolavon,Wrought Iron Ingot@kerys-tremen
Simple Silver Bracelet,4.0,2.0,-2.0,-100.0,ancien-lavedan,Silver Ingot@kerys-tremen
Bronze Spike,4.0,2.0,-2.0,-100.0,kerys-dreger,Bronze Bar@inis_gallia-aras
Iron Battleaxe,4.0,2.0,-2.0,-100.0,merrie-ardbog,Axe Handle@ancien-tursan; Iron Axe Head@ancien-tursan; Bronze Nails@kerys-aven; Coarse Leather Band@merrie-ardbog
Bronze Studs,2.0,0.005,-2.0,-39900.0,kerys-aven,Bronze Bar@inis_gallia-aras
Linen Cloth,3.75,1.75,-2.0,-114.3,inis_gallia-ardennes,Coarse Linen Cloth@ancien-tursan
Pilgrim's Pants III,22.01,20.0,-2.01,-10.1,kerys-tremen,Boiled Leather@kerys-llydaw; Wool Yarn@ancien-tursan; Bronze Studs@kerys-aven; Linseed Oil@kerys-aven; Coarse Leather String@ancien-volvestre
Starwort Extract,2.08,0.05,-2.03,-4060.0,inis_gallia-trecassis,Starwort@kerys-pladenn; Charcoal@merrie-shire; Water@ancien-armanhac
Weak Tonic of Vitality II,2.1,0.05,-2.05,-4100.0,ancien-tolosa,Fly Agaric Extract@ancien-tolosa; Water@ancien-armanhac; Small Vial@inis_gallia-aras
Bed,3.1,1.0,-2.1,-210.0,ancien-armanhac,Plank@inis_gallia-langres; Wooden Beam@merrie-ardbog; Straw@kerys-bronyr; Coarse Linen Cloth@ancien-tursan
Shadow Court Gown,13.12,11.0,-2.12,-19.3,ancien-gravas,Linen Cloth@inis_gallia-ardennes; Wool Yarn@ancien-tursan; Sewing Needles@kerys-dreger; Silver Thread@kerys-bronyr
Broad Silver Plate,12.12,10.0,-2.12,-21.2,inis_gallia-morvan,Silver Ingot@kerys-tremen; Tallow@merrie-wiht
Trail Pie,2.2,0.05,-2.15,-4300.0,merrie-nene,Barley Dough@kerys-tremen; Lard@kerys-dreger
Weak Tonic of Vitality III,2.3,0.1,-2.2,-2200.0,ancien-lavedan,Amanita Regalis Extract@kerys-aven; Water@ancien-armanhac; Small Vial@inis_gallia-aras
Golden Porridge,2.33,0.1,-2.23,-2225.7,ancien-lavedan,Water@ancien-armanhac; Barley Grain@ancien-maremna; Yellow Onion@inis_gallia-nones; Tallow@merrie-wiht
Square Shutter,4.78,2.5,-2.28,-91.2,inis_gallia-vitry,Plank@inis_gallia-langres; Iron Nails@merrie-wiht; Iron Hinges@merrie-ulaid
Narrow Square Shutter,4.78,2.5,-2.28,-91.2,inis_gallia-vitry,Plank@inis_gallia-langres; Iron Nails@merrie-wiht; Iron Hinges@merrie-ulaid
Fine Venison Sausage,2.6,0.3,-2.3,-766.7,inis_gallia-ardennes,Deer Intestines@ancien-tursan; Deer Round Meat@ancien-astarac; Lard@kerys-dreger; Rosemary@kerys-pladenn
Rosecourt Bourrelet,5.32,3.0,-2.32,-77.3,ancien-lavedan,Linen Cloth@inis_gallia-ardennes; Wool Yarn@ancien-tursan; Sewing Needles@kerys-dreger; Garnet@ancien-armanhac
Elegant Stinkhorn Extract,4.68,2.25,-2.43,-108.0,inis_gallia-langres,Elegant Stinkhorn@kerys-tremen; Charcoal@merrie-shire; Water@ancien-armanhac
Rough Glass,2.6,0.05,-2.55,-5100.0,inis_gallia-langres,Sand@inis_gallia-ardennes; Charcoal@merrie-shire
Cold Resistance I,2.8,0.2,-2.6,-1300.0,ancien-tolosa,Crane Flower Extract@kerys-pladenn; Water@ancien-armanhac; Small Vial@inis_gallia-aras
Pilgrim's Helmet,3.6,1.0,-2.6,-260.0,kerys-retz,Bronze Sheet@inis_gallia-trecassis
Weak Health Tonic III,2.7,0.1,-2.6,-2600.0,ancien-lavedan,Lavender Extract@inis_gallia-langres; Water@ancien-armanhac; Small Vial@inis_gallia-aras
Aegis Potion IV,2.7,0.1,-2.6,-2600.0,ancien-gravas,Castor Extract@kerys-pladenn; Water@ancien-armanhac; Small Vial@inis_gallia-aras
Decorated Chest,24.62,22.0,-2.62,-11.9,kerys-vanes,Fine Wooden Plank@ancien-tursan; Iron Nails@merrie-wiht; Wrought Iron Hinges@kerys-tremen; Coarse Cotton Cloth@inis_gallia-vitry
Sanguine Shoes,3.62,1.0,-2.62,-262.0,kerys-pladenn,Rawhide@inis_gallia-langres; Sewing Needles@kerys-dreger
Stormveil Boots,3.62,1.0,-2.62,-262.0,kerys-bronyr,Rawhide@inis_gallia-langres; Sewing Needles@kerys-dreger
Aegis Potion V,2.8,0.06666666666666667,-2.73,-4100.0,merrie-nene,Castor Extract@kerys-pladenn; Water@ancien-armanhac; Small Vial@inis_gallia-aras
Wrought Iron Lames,52.75,50.0,-2.75,-5.5,kerys-bronyr,Wrought Iron Sheet@ancien-astarac; Iron Hinges@merrie-ulaid; Bronze Studs@kerys-aven
Rosemary Tea,3.0,0.25,-2.75,-1100.0,inis_gallia-ardennes,Water@ancien-armanhac; Rosemary@kerys-pladenn; Red Poppy@kerys-aven
Coarse Linen Cloth,3.0,0.25,-2.75,-1100.0,ancien-tursan,Linen String@inis_gallia-langres
Minor Healing Potion I,3.0,0.25,-2.75,-1100.0,merrie-wiht,Crown Beard Extract@ancien-astarac; Water@ancien-armanhac; Small Vial@inis_gallia-aras
Farmhouse Roast,3.0,0.2,-2.8,-1400.0,inis_gallia-ardennes,Parsley@ancien-tolosa; Deer Rump Meat@merrie-shire; Tallow@merrie-wiht
Pilgrim's Sabatons,3.8,1.0,-2.8,-280.0,kerys-vanes,Dandelion@merrie-ardbog; Bronze Sheet@inis_gallia-trecassis
Minor Health Tonic I,2.9,0.05,-2.85,-5700.0,inis_gallia-javerdus,Death Cap Extract@merrie-ardbog; Water@ancien-armanhac; Small Vial@inis_gallia-aras
Onyx Diadem,4.87,2.0,-2.87,-143.3,inis_gallia-atigny,Copper Ingot@merrie-ardbog; Onyx@kerys-aven
Bronze Bar,5.0,2.0,-3.0,-150.0,inis_gallia-aras,Bronze Ingot@ancien-volvestre
Cotton Cord,4.0,1.0,-3.0,-300.0,merrie-nene,Cotton Fiber@ancien-maremna
Elderberry Syrup,3.48,0.4,-3.08,-769.0,ancien-gravas,Water@ancien-armanhac; Elderberry@inis_gallia-ardennes
Amber Adorned Amulet,4.08,1.0,-3.08,-307.7,kerys-dreger,Bronze Ingot@ancien-volvestre; Amber@inis_gallia-aras
Sunbright Tunic,13.12,10.0,-3.12,-31.2,merrie-ardbog,Linen Cloth@inis_gallia-ardennes; Wool Yarn@ancien-tursan; Sewing Needles@kerys-dreger; Silver Thread@kerys-bronyr
Verdant Court Gown,13.12,10.0,-3.12,-31.2,merrie-caster,Linen Cloth@inis_gallia-ardennes; Wool Yarn@ancien-tursan; Sewing Needles@kerys-dreger; Silver Thread@kerys-bronyr
Hearth Tunic,5.12,2.0,-3.12,-156.0,inis_gallia-langres,Linen Cloth@inis_gallia-ardennes; Wool Yarn@ancien-tursan; Sewing Needles@kerys-dreger
Duskleaf Tunic,13.12,10.0,-3.12,-31.2,merrie-caster,Linen Cloth@inis_gallia-ardennes; Wool Yarn@ancien-tursan; Sewing Needles@kerys-dreger; Silver Thread@kerys-bronyr
Stonepath Hose,5.12,2.0,-3.12,-156.0,merrie-shire,Linen Cloth@inis_gallia-ardennes; Wool Yarn@ancien-tursan; Sewing Needles@kerys-dreger
Basic Armorer Tools,5.2,2.0,-3.2,-160.0,ancien-lavedan,Bronze Ingot@ancien-volvestre; Long Wood Stock@kerys-aven
Plain Ale,3.4,0.1,-3.3,-3300.0,kerys-dolavon,Weak Ale Base@kerys-aven; Yeast@ancien-astarac; Water@ancien-armanhac
Brazier,13.35,10.0,-3.35,-33.5,merrie-bearm,Long Wood Stock@kerys-aven; Clay@merrie-yarborn; Charcoal@merrie-shire; Wrought Iron Sheet@ancien-astarac
Clay Shingles,3.5,0.1,-3.4,-3400.0,merrie-nene,Clay@merrie-yarborn; Charcoal@merrie-shire
Small Wooden Barrel,4.08,0.6666666666666666,-3.41,-512.0,ancien-lavedan,Plank@inis_gallia-langres; Bronze Bar@inis_gallia-aras; Bronze Nails@kerys-aven
Roasted Cabbage Stew,3.66,0.25,-3.41,-1362.3,ancien-salias,Yellow Onion@inis_gallia-nones; Mustard@merrie-ulaid; Dapperling@merrie-gael; Red Cabbage@inis_gallia-javerdus; Lard@kerys-dreger
Silver Serving Plate,4.04,0.5,-3.54,-708.0,kerys-dolavon,Silver Ingot@kerys-tremen; Tallow@merrie-wiht
Pilgrim's Bracers III,7.55,4.0,-3.55,-88.8,ancien-lavedan,Boiled Leather@kerys-llydaw; Leather Straps@inis_gallia-langres; Leather Pads@ancien-lavedan; Stuffed Linen Padding@merrie-shire; Linseed Oil@kerys-aven
Pilgrim's Breeches II,5.69,2.0,-3.69,-184.5,ancien-gravas,Sewing Needles@kerys-dreger; Linen Cloth@inis_gallia-ardennes; Coarse Leather String@ancien-volvestre; Bronze Buckle@inis_gallia-nones; Coarse Leather Band@merrie-ardbog
Simple Wooden Door,4.78,1.0,-3.78,-378.0,kerys-aven,Plank@inis_gallia-langres; Iron Nails@merrie-wiht; Iron Hinges@merrie-ulaid
Golden Barley Water,3.88,0.05,-3.83,-7652.4,inis_gallia-javerdus,Water@ancien-armanhac; Barley Stalks@kerys-bronyr; Elderberry@inis_gallia-ardennes
Onyx Headband,4.87,1.0,-3.87,-386.7,inis_gallia-vitry,Copper Ingot@merrie-ardbog; Onyx@kerys-aven
Summer heat,4.29,0.4,-3.89,-972.5,ancien-tursan,Red Apple@merrie-ulaid; Water@ancien-armanhac; Honey@kerys-retz; Raspberry Syrup@inis_gallia-atigny
Iron Wire,4.0,0.07692307692307693,-3.92,-5100.0,ancien-armanhac,Iron Ingot@merrie-yarborn
Rosy Oat Bread,4.28,0.25,-4.03,-1612.0,kerys-vanes,Oat Dough@kerys-tremen; Rosehip@inis_gallia-javerdus; Tallow@merrie-wiht
Fire Resistance II,5.58,1.5,-4.08,-272.2,kerys-tremen,Pasque Flower Extract@merrie-down; Water@ancien-armanhac; Vial@ancien-lavedan
Meadow Dress,5.12,1.0,-4.12,-412.0,merrie-yarborn,Linen Cloth@inis_gallia-ardennes; Wool Yarn@ancien-tursan; Sewing Needles@kerys-dreger
Traveler’s Mantle,5.12,1.0,-4.12,-412.0,merrie-ardbog,Linen Cloth@inis_gallia-ardennes; Wool Yarn@ancien-tursan; Sewing Needles@kerys-dreger
Aegis Potion VI,4.28,0.15,-4.13,-2755.6,inis_gallia-aras,Starwort Extract@inis_gallia-trecassis; Water@ancien-armanhac; Vial@ancien-lavedan
Aegis Potion VII,4.38,0.25,-4.13,-1653.3,ancien-lavedan,Starwort Extract@inis_gallia-trecassis; Water@ancien-armanhac; Vial@ancien-lavedan
Aegis Potion VIII,4.38,0.25,-4.13,-1653.3,inis_gallia-ardennes,Starwort Extract@inis_gallia-trecassis; Water@ancien-armanhac; Vial@ancien-lavedan
Leatherworker Sign,24.17,20.0,-4.17,-20.9,inis_gallia-aras,Wrought Iron Sheet@ancien-astarac; Iron Nails@merrie-wiht; Wooden Beam@merrie-ardbog
Alchemist Sign,24.17,20.0,-4.17,-20.9,ancien-lavedan,Wrought Iron Sheet@ancien-astarac; Iron Nails@merrie-wiht; Wooden Beam@merrie-ardbog
Carpentry Sign,24.17,20.0,-4.17,-20.9,inis_gallia-aras,Wrought Iron Sheet@ancien-astarac; Iron Nails@merrie-wiht; Wooden Beam@merrie-ardbog
Blacksmith Sign,24.17,20.0,-4.17,-20.9,inis_gallia-aras,Wrought Iron Sheet@ancien-astarac; Iron Nails@merrie-wiht; Wooden Beam@merrie-ardbog
Tailor Sign,24.17,20.0,-4.17,-20.9,inis_gallia-aras,Wrought Iron Sheet@ancien-astarac; Iron Nails@merrie-wiht; Wooden Beam@merrie-ardbog
Pilgrim's Hood II,5.2,1.0,-4.2,-420.0,inis_gallia-trecassis,Sewing Needles@kerys-dreger; Linen Cloth@inis_gallia-ardennes; Wool Yarn@ancien-tursan
Basic Weaponsmithing Tools,5.2,1.0,-4.2,-420.0,inis_gallia-langres,Bronze Ingot@ancien-volvestre; Long Wood Stock@kerys-aven
Minor Healing Potion III,4.98,0.75,-4.23,-564.4,merrie-ulaid,Fool's Webcap Extract@kerys-aven; Water@ancien-armanhac; Vial@ancien-lavedan
Poison Resistance II,4.98,0.5,-4.48,-896.7,inis_gallia-ardennes,Red Poppy Extract@kerys-aven; Water@ancien-armanhac; Vial@ancien-lavedan
Griffin Chest,24.62,20.0,-4.62,-23.1,ancien-volvestre,Fine Wooden Plank@ancien-tursan; Iron Nails@merrie-wiht; Wrought Iron Hinges@kerys-tremen; Coarse Cotton Cloth@inis_gallia-vitry
Silver Tipped Arrow,5.0,0.32,-4.68,-1462.5,kerys-pladenn,Long Wood Stock@kerys-aven; Silver Arrowhead@inis_gallia-langres
Bladder Campion Extract,5.68,1.0,-4.68,-468.0,merrie-shire,Bladder Campion@merrie-shire; Charcoal@merrie-shire; Water@ancien-armanhac
Pilgrim's Helmcap III,9.7,5.0,-4.7,-94.0,merrie-wiht,Boiled Leather@kerys-llydaw; Stuffed Linen Padding@merrie-shire; Wool Yarn@ancien-tursan; Linseed Oil@kerys-aven
Pasque Flower Extract,5.18,0.45,-4.73,-1051.1,merrie-down,Pasque Flower@inis_gallia-langres; Charcoal@merrie-shire; Water@ancien-armanhac
Vegetable Stew,4.83,0.1,-4.73,-4730.0,inis_gallia-jura,Red Onion@ancien-tursan; Mustard@merrie-ulaid; Garlic@kerys-pladenn; Enoki@ancien-gravas; Lard@kerys-dreger
Minor Tonic of Vitality II,4.98,0.25,-4.73,-1893.3,inis_gallia-ardennes,Red Poppy Extract@kerys-aven; Water@ancien-armanhac; Vial@ancien-lavedan
Harvest Gold Ale,4.85,0.1,-4.75,-4750.0,kerys-retz,Weak Ale Base@kerys-aven; Yeast@ancien-astarac; Water@ancien-armanhac; Honey@kerys-retz
Bronze Sword Blade,5.0,0.14285714285714285,-4.86,-3400.0,merrie-nene,Bronze Ingot@ancien-volvestre
Bronze Arrowhead,5.0,0.02,-4.98,-24900.0,kerys-ewyas,Bronze Ingot@ancien-volvestre
Wrought Iron Bar,15.0,10.0,-5.0,-50.0,inis_gallia-langres,Wrought Iron Ingot@kerys-tremen
Basic Alchemy Instruments,6.08,1.0,-5.08,-508.3,merrie-yarborn,Copper Ingot@merrie-ardbog; Bronze Bar@inis_gallia-aras; Rough Glass@inis_gallia-langres
Brick,5.6,0.5,-5.1,-1020.0,merrie-bearm,Clay@merrie-yarborn; Charcoal@merrie-shire
Quilted Wool Padding,7.1,2.0,-5.1,-255.0,inis_gallia-langres,Coarse Wool Cloth@merrie-gael; Linen String@inis_gallia-langres; Sewing Needles@kerys-dreger
Large Stone Planter,10.12,5.0,-5.12,-102.4,kerys-retz,Gneiss@inis_gallia-vitry; Batflower@inis_gallia-langres
Crimson Court Gown,25.12,20.0,-5.12,-25.6,ancien-lavedan,Linen Cloth@inis_gallia-ardennes; Wool Yarn@ancien-tursan; Sewing Needles@kerys-dreger; Aurum Thread@inis_gallia-vitry
Corded Linen Padding,17.9,12.5,-5.4,-43.2,ancien-lavedan,Fine Linen Cloth@inis_gallia-nones; Linen String@inis_gallia-langres; Glue@inis_gallia-aras
Attuned Bronze Heater,7.45,2.0,-5.45,-272.5,ancien-tolosa,Citrine@ancien-gravas; Plank@inis_gallia-langres; Bronze Sheet@inis_gallia-trecassis
Pilgrim's Pants II,6.46,1.0,-5.46,-546.0,ancien-tursan,Suede Leather@kerys-tremen; Linen String@inis_gallia-langres; Bronze Studs@kerys-aven; Coarse Leather String@ancien-volvestre
Tin Ingot,5.7,0.16666666666666666,-5.53,-3320.0,merrie-nene,Tin Ore@kerys-dolavon; Charcoal@merrie-shire
Minor Health Tonic II,5.88,0.25,-5.63,-2253.3,kerys-tremen,Death Cap Extract@merrie-ardbog; Water@ancien-armanhac; Vial@ancien-lavedan
Minor Healing Potion II,6.03,0.4,-5.63,-1408.3,ancien-armanhac,Crown Beard Extract@ancien-astarac; Water@ancien-armanhac; Vial@ancien-lavedan
Silver Buttons,6.0,0.3,-5.7,-1900.0,ancien-lavedan,Silver Ingot@kerys-tremen; Cotton Cord@merrie-nene
Barley Flour,6.0,0.15,-5.85,-3900.0,inis_gallia-langres,Barley Grain@ancien-maremna
Kerys Cider,6.95,1.0,-5.95,-595.0,inis_gallia-javerdus,Red Apple@merrie-ulaid; Water@ancien-armanhac; Honey@kerys-retz; Red Currant Syrup@kerys-bronyr
Pure Glass,6.6,0.5,-6.1,-1220.0,ancien-tolosa,Sand@inis_gallia-ardennes; Charcoal@merrie-shire
Basic Jewelcrafting Tools,11.13,5.0,-6.13,-122.7,inis_gallia-langres,Copper Ingot@merrie-ardbog; Rawhide@inis_gallia-langres; Iron Knife Blade@merrie-ulaid; Rough Glass@inis_gallia-langres
Potion of Spirit I,6.38,0.2,-6.18,-3091.7,inis_gallia-javerdus,High Mallow Extract@inis_gallia-langres; Water@ancien-armanhac; Vial@ancien-lavedan
Bronze Heater,7.4,1.0,-6.4,-640.0,inis_gallia-atigny,Plank@inis_gallia-langres; Bronze Sheet@inis_gallia-trecassis
Minor Tonic of Vitality I,7.13,0.55,-6.58,-1197.0,merrie-yarborn,Golden Poppy Extract@kerys-aven; Water@ancien-armanhac; Vial@ancien-lavedan
Yeast,7.0,0.42,-6.58,-1566.7,ancien-astarac,Water@ancien-armanhac; Rye Flour@kerys-aven
Dressed up Porridge,7.84,1.25,-6.59,-527.2,kerys-dolavon,Water@ancien-armanhac; Barley Grain@ancien-maremna; Boar Rump Meat@merrie-shire; Oyster Mushroom@ancien-astarac; Tallow@merrie-wiht
Fennel Tea,7.0,0.1,-6.9,-6900.0,inis_gallia-ardennes,Water@ancien-armanhac; Fennel@kerys-aven; Pasque Flower@inis_gallia-langres
Steady Mind I,7.13,0.2,-6.93,-3466.7,inis_gallia-javerdus,Golden Poppy Extract@kerys-aven; Water@ancien-armanhac; Vial@ancien-lavedan
Deadly Nightshade Fruit Extract,9.43,2.5,-6.93,-277.2,ancien-astarac,Nightshade Fruit@kerys-dreger; Charcoal@merrie-shire; Water@ancien-armanhac
Stuffed Linen Padding,8.6,1.6,-7.0,-437.5,merrie-shire,Linen Cloth@inis_gallia-ardennes; Linen String@inis_gallia-langres; Sewing Needles@kerys-dreger
Wooden Barrel,8.12,1.0,-7.12,-712.0,ancien-lavedan,Plank@inis_gallia-langres; Bronze Bar@inis_gallia-aras; Bronze Nails@kerys-aven
Inferior Leather,7.75,0.5,-7.25,-1450.0,kerys-tremen,Rawhide@inis_gallia-langres; Lime@inis_gallia-morvan; Water@ancien-armanhac
Red Currant Syrup,8.0,0.6,-7.4,-1233.3,kerys-bronyr,Water@ancien-armanhac; Red Currant@inis_gallia-langres
Boiled Leather,8.5,1.0,-7.5,-750.0,kerys-llydaw,Inferior Leather@kerys-tremen; Lime@inis_gallia-morvan; Water@ancien-armanhac
Silver Plate,8.08,0.5,-7.58,-1516.0,ancien-tolosa,Silver Ingot@kerys-tremen; Tallow@merrie-wiht
Minor Health Tonic III,8.73,1.0,-7.73,-773.3,ancien-volvestre,Skullcap Extract@inis_gallia-langres; Water@ancien-armanhac; Vial@ancien-lavedan
Pilgrim's Gloves III,8.75,1.0,-7.75,-775.0,merrie-down,Boiled Leather@kerys-llydaw; Wool Yarn@ancien-tursan; Linseed Oil@kerys-aven
Dark Hide Rug,10.0,2.0,-8.0,-400.0,ancien-armanhac,Large Animal Hide@kerys-aven
Pilgrim's Legguards,9.0,1.0,-8.0,-800.0,merrie-shire,Bronze Sheet@inis_gallia-trecassis
Pilgrim's Hood IV,67.0,59.0,-8.0,-13.6,kerys-bronyr,Horn Needles@kerys-tremen; Fine Wool Cloth@kerys-tremen; Cotton Cord@merrie-nene
Warrior's Cuirass of Windlash,9.0,1.0,-8.0,-800.0,kerys-dreger,Bronze Sheet@inis_gallia-trecassis
Pilgrim's Breastplate,9.2,1.0,-8.2,-820.0,kerys-ewyas,Plantago@ancien-maremna; Bronze Sheet@inis_gallia-trecassis
Vanguard's Cap of Revocation II,10.31,2.0,-8.31,-415.7,kerys-bronyr,Worn Out Locket@kerys-llydaw; Sigil of Carelena@kerys-aven; Topaz@ancien-volvestre; Suede Leather@kerys-tremen; Quilted Linen Padding@inis_gallia-nones; Linen String@inis_gallia-langres
Bronze Buckle,9.0,0.2,-8.8,-4400.0,inis_gallia-nones,Bronze Sheet@inis_gallia-trecassis
Pilgrim's Gauntlets,10.0,1.0,-9.0,-900.0,merrie-down,Bronze Ingot@ancien-volvestre
Copper Ingot,9.7,0.36666666666666664,-9.33,-2545.5,merrie-ardbog,Copper Ore@ancien-salias; Charcoal@merrie-shire
Chamois Steak,9.7,0.25,-9.45,-3780.0,inis_gallia-ardennes,Rosemary@kerys-pladenn; Chamois Round Meat@ancien-lavedan; Tallow@merrie-wiht
Rye Flour,10.0,0.25,-9.75,-3900.0,kerys-aven,Rye Grain@merrie-shire
Butcher's Tools,30.84,21.0,-9.84,-46.9,inis_gallia-morvan,Linen Cloth@inis_gallia-ardennes; Iron Knife Blade@merrie-ulaid; Long Wood Stock@kerys-aven; Fine Wooden Plank@ancien-tursan
Wrought Iron Nails,10.0,0.1,-9.9,-9900.0,kerys-llydaw,Wrought Iron Bar@inis_gallia-langres
Iron Arrowhead,10.0,0.04,-9.96,-24900.0,ancien-astarac,Iron Ingot@merrie-yarborn
Wrought Iron Studs,10.0,0.025,-9.98,-39900.0,ancien-lavedan,Wrought Iron Bar@inis_gallia-langres
